"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 04 14:21:51 GMT 2021","Wed Aug 04 14:22:00 GMT 2021","8089","docs.testcases","test_create_post","","","","test_create_post",""
"passed","Wed Aug 04 14:22:53 GMT 2021","Wed Aug 04 14:23:02 GMT 2021","9113","docs.testcases","test_registration200","","","","test_registration200",""
"passed","Wed Aug 04 14:21:46 GMT 2021","Wed Aug 04 14:21:51 GMT 2021","5863","docs.testcases","test_cookie_accept","","","","test_cookie_accept",""
"broken","Wed Aug 04 14:22:35 GMT 2021","Wed Aug 04 14:22:39 GMT 2021","3917","docs.testcases","test_logout","","","","test_logout",""
"broken","Wed Aug 04 14:22:39 GMT 2021","Wed Aug 04 14:22:47 GMT 2021","8124","docs.testcases","test_pagination","","","","test_global_feed_pagination",""
"broken","Wed Aug 04 14:21:27 GMT 2021","Wed Aug 04 14:21:45 GMT 2021","18526","docs.testcases","test_articles_list","","","","test_global_feed_list",""
"broken","Wed Aug 04 14:22:08 GMT 2021","Wed Aug 04 14:22:16 GMT 2021","8066","docs.testcases","test_delete_post","","","","test_delete_post",""
"broken","Wed Aug 04 14:22:00 GMT 2021","Wed Aug 04 14:22:08 GMT 2021","8086","docs.testcases","test_create_posts","","","","test_create_posts",""
"failed","Wed Aug 04 14:22:47 GMT 2021","Wed Aug 04 14:22:53 GMT 2021","6145","docs.testcases","test_registration","","","","test_registration",""
"broken","Wed Aug 04 14:22:16 GMT 2021","Wed Aug 04 14:22:23 GMT 2021","7059","docs.testcases","test_edit_settings","","","","test_edit_settings",""
"broken","Wed Aug 04 14:22:31 GMT 2021","Wed Aug 04 14:22:35 GMT 2021","3721","docs.testcases","test_login","","","","test_login",""
"broken","Wed Aug 04 14:22:23 GMT 2021","Wed Aug 04 14:22:31 GMT 2021","8058","docs.testcases","test_export_my_last_post","","","","test_export_my_last_post",""
