"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 04 14:42:10 GMT 2021","Wed Aug 04 14:42:22 GMT 2021","12719","docs.testcases","test_articles_list","","","","test_global_feed_list",""
"broken","Wed Aug 04 14:43:10 GMT 2021","Wed Aug 04 14:43:14 GMT 2021","3771","docs.testcases","test_logout","","","","test_logout",""
"broken","Wed Aug 04 14:42:51 GMT 2021","Wed Aug 04 14:42:58 GMT 2021","6971","docs.testcases","test_edit_settings","","","","test_edit_settings",""
"passed","Wed Aug 04 14:43:22 GMT 2021","Wed Aug 04 14:43:33 GMT 2021","11042","docs.testcases","test_registration","","","","test_registration",""
"passed","Wed Aug 04 14:43:33 GMT 2021","Wed Aug 04 14:43:42 GMT 2021","8956","docs.testcases","test_registration200","","","","test_registration200",""
"broken","Wed Aug 04 14:42:58 GMT 2021","Wed Aug 04 14:43:06 GMT 2021","7950","docs.testcases","test_export_my_last_post","","","","test_export_my_last_post",""
"broken","Wed Aug 04 14:42:43 GMT 2021","Wed Aug 04 14:42:51 GMT 2021","7957","docs.testcases","test_delete_post","","","","test_delete_post",""
"broken","Wed Aug 04 14:43:06 GMT 2021","Wed Aug 04 14:43:10 GMT 2021","3591","docs.testcases","test_login","","","","test_login",""
"broken","Wed Aug 04 14:42:28 GMT 2021","Wed Aug 04 14:42:35 GMT 2021","6959","docs.testcases","test_create_post","","","","test_create_post",""
"broken","Wed Aug 04 14:43:14 GMT 2021","Wed Aug 04 14:43:22 GMT 2021","7965","docs.testcases","test_pagination","","","","test_global_feed_pagination",""
"passed","Wed Aug 04 14:42:23 GMT 2021","Wed Aug 04 14:42:28 GMT 2021","5744","docs.testcases","test_cookie_accept","","","","test_cookie_accept",""
"broken","Wed Aug 04 14:42:35 GMT 2021","Wed Aug 04 14:42:43 GMT 2021","7976","docs.testcases","test_create_posts","","","","test_create_posts",""
