"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 15:29:04 GMT 2021","Fri Aug 06 15:29:19 GMT 2021","14816","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_create_post",""
"passed","Fri Aug 06 15:30:32 GMT 2021","Fri Aug 06 15:30:39 GMT 2021","7593","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_global_feed_list",""
"passed","Fri Aug 06 15:28:58 GMT 2021","Fri Aug 06 15:29:04 GMT 2021","5451","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_logout_process",""
"passed","Fri Aug 06 15:30:40 GMT 2021","Fri Aug 06 15:30:49 GMT 2021","9518","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_global_feed_pagination",""
"passed","Fri Aug 06 15:29:21 GMT 2021","Fri Aug 06 15:30:03 GMT 2021","42172","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_create_posts_process",""
"passed","Fri Aug 06 15:30:17 GMT 2021","Fri Aug 06 15:30:30 GMT 2021","12535","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_export_my_last_post",""
"passed","Fri Aug 06 15:28:37 GMT 2021","Fri Aug 06 15:28:41 GMT 2021","4042","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_registration_process",""
"passed","Fri Aug 06 15:28:42 GMT 2021","Fri Aug 06 15:28:44 GMT 2021","1914","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_login_process",""
"passed","Fri Aug 06 15:28:33 GMT 2021","Fri Aug 06 15:28:35 GMT 2021","2101","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_cookie_process",""
"passed","Fri Aug 06 15:28:45 GMT 2021","Fri Aug 06 15:28:58 GMT 2021","12754","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_edit_settings_process",""
"passed","Fri Aug 06 15:30:05 GMT 2021","Fri Aug 06 15:30:16 GMT 2021","11345","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_delete_post_process",""
