"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 04 14:37:11 GMT 2021","Wed Aug 04 14:37:19 GMT 2021","8035","docs.testcases","test_create_post","","","","test_create_post",""
"broken","Wed Aug 04 14:37:35 GMT 2021","Wed Aug 04 14:37:42 GMT 2021","6971","docs.testcases","test_edit_settings","","","","test_edit_settings",""
"passed","Wed Aug 04 14:38:06 GMT 2021","Wed Aug 04 14:38:16 GMT 2021","10055","docs.testcases","test_registration","","","","test_registration",""
"passed","Wed Aug 04 14:38:16 GMT 2021","Wed Aug 04 14:38:25 GMT 2021","9029","docs.testcases","test_registration200","","","","test_registration200",""
"passed","Wed Aug 04 14:37:05 GMT 2021","Wed Aug 04 14:37:11 GMT 2021","5762","docs.testcases","test_cookie_accept","","","","test_cookie_accept",""
"broken","Wed Aug 04 14:36:57 GMT 2021","Wed Aug 04 14:37:05 GMT 2021","8907","docs.testcases","test_articles_list","","","","test_global_feed_list",""
"broken","Wed Aug 04 14:37:42 GMT 2021","Wed Aug 04 14:37:50 GMT 2021","7958","docs.testcases","test_export_my_last_post","","","","test_export_my_last_post",""
"broken","Wed Aug 04 14:37:27 GMT 2021","Wed Aug 04 14:37:35 GMT 2021","7992","docs.testcases","test_delete_post","","","","test_delete_post",""
"broken","Wed Aug 04 14:37:54 GMT 2021","Wed Aug 04 14:37:58 GMT 2021","3821","docs.testcases","test_logout","","","","test_logout",""
"broken","Wed Aug 04 14:37:19 GMT 2021","Wed Aug 04 14:37:27 GMT 2021","8012","docs.testcases","test_create_posts","","","","test_create_posts",""
"broken","Wed Aug 04 14:37:50 GMT 2021","Wed Aug 04 14:37:54 GMT 2021","3573","docs.testcases","test_login","","","","test_login",""
"broken","Wed Aug 04 14:37:58 GMT 2021","Wed Aug 04 14:38:06 GMT 2021","7989","docs.testcases","test_pagination","","","","test_global_feed_pagination",""
