"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 15:20:12 GMT 2021","Fri Aug 06 15:20:26 GMT 2021","14446","docs.testcases","test_all_in_one","TestConduit","","","test_create_post",""
"passed","Fri Aug 06 15:20:03 GMT 2021","Fri Aug 06 15:20:11 GMT 2021","8411","docs.testcases","test_all_in_one","TestConduit","","","test_logout_process",""
"passed","Fri Aug 06 15:22:29 GMT 2021","Fri Aug 06 15:22:44 GMT 2021","14650","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_create_post",""
"passed","Fri Aug 06 15:21:39 GMT 2021","Fri Aug 06 15:21:47 GMT 2021","7510","docs.testcases","test_all_in_one","TestConduit","","","test_global_feed_list",""
"passed","Fri Aug 06 15:24:02 GMT 2021","Fri Aug 06 15:24:12 GMT 2021","9448","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_global_feed_pagination",""
"passed","Fri Aug 06 15:23:40 GMT 2021","Fri Aug 06 15:23:53 GMT 2021","12470","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_export_my_last_post",""
"passed","Fri Aug 06 15:19:27 GMT 2021","Fri Aug 06 15:19:31 GMT 2021","3813","docs.testcases","test_all_in_one","TestConduit","","","test_registration_process",""
"failed","Fri Aug 06 15:22:03 GMT 2021","Fri Aug 06 15:22:06 GMT 2021","2384","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_registration_process",""
"passed","Fri Aug 06 15:22:07 GMT 2021","Fri Aug 06 15:22:09 GMT 2021","1874","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_login_process",""
"passed","Fri Aug 06 15:22:45 GMT 2021","Fri Aug 06 15:23:27 GMT 2021","41666","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_create_posts_process",""
"passed","Fri Aug 06 15:21:25 GMT 2021","Fri Aug 06 15:21:38 GMT 2021","12465","docs.testcases","test_all_in_one","TestConduit","","","test_export_my_last_post",""
"passed","Fri Aug 06 15:19:25 GMT 2021","Fri Aug 06 15:19:27 GMT 2021","2108","docs.testcases","test_all_in_one","TestConduit","","","test_cookie_process",""
"passed","Fri Aug 06 15:21:09 GMT 2021","Fri Aug 06 15:21:24 GMT 2021","14533","docs.testcases","test_all_in_one","TestConduit","","","test_delete_post_process",""
"passed","Fri Aug 06 15:19:33 GMT 2021","Fri Aug 06 15:19:39 GMT 2021","6310","docs.testcases","test_all_in_one","TestConduit","","","test_login_process",""
"passed","Fri Aug 06 15:22:10 GMT 2021","Fri Aug 06 15:22:22 GMT 2021","12185","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_edit_settings_process",""
"passed","Fri Aug 06 15:21:48 GMT 2021","Fri Aug 06 15:21:58 GMT 2021","9451","docs.testcases","test_all_in_one","TestConduit","","","test_global_feed_pagination",""
"passed","Fri Aug 06 15:21:59 GMT 2021","Fri Aug 06 15:22:02 GMT 2021","2087","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_cookie_process",""
"passed","Fri Aug 06 15:23:29 GMT 2021","Fri Aug 06 15:23:39 GMT 2021","9791","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_delete_post_process",""
"passed","Fri Aug 06 15:20:27 GMT 2021","Fri Aug 06 15:21:09 GMT 2021","41588","docs.testcases","test_all_in_one","TestConduit","","","test_create_posts_process",""
"passed","Fri Aug 06 15:22:23 GMT 2021","Fri Aug 06 15:22:29 GMT 2021","5389","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_logout_process",""
"passed","Fri Aug 06 15:23:53 GMT 2021","Fri Aug 06 15:24:01 GMT 2021","7579","docs.testcases","test_all_in_one_with_wait","TestConduit","","","test_global_feed_list",""
"passed","Fri Aug 06 15:19:40 GMT 2021","Fri Aug 06 15:20:02 GMT 2021","22910","docs.testcases","test_all_in_one","TestConduit","","","test_edit_settings_process",""
