"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 14:33:56 GMT 2021","Wed Aug 04 14:34:02 GMT 2021","5750","docs.testcases","test_cookie_accept","","","","test_cookie_accept",""
"broken","Wed Aug 04 14:34:44 GMT 2021","Wed Aug 04 14:34:48 GMT 2021","3820","docs.testcases","test_logout","","","","test_logout",""
"broken","Wed Aug 04 14:34:41 GMT 2021","Wed Aug 04 14:34:44 GMT 2021","3552","docs.testcases","test_login","","","","test_login",""
"broken","Wed Aug 04 14:34:02 GMT 2021","Wed Aug 04 14:34:10 GMT 2021","7969","docs.testcases","test_create_post","","","","test_create_post",""
"failed","Wed Aug 04 14:34:56 GMT 2021","Wed Aug 04 14:35:02 GMT 2021","5928","docs.testcases","test_registration","","","","test_registration",""
"broken","Wed Aug 04 14:34:48 GMT 2021","Wed Aug 04 14:34:56 GMT 2021","7948","docs.testcases","test_pagination","","","","test_global_feed_pagination",""
"broken","Wed Aug 04 14:34:33 GMT 2021","Wed Aug 04 14:34:41 GMT 2021","7932","docs.testcases","test_export_my_last_post","","","","test_export_my_last_post",""
"broken","Wed Aug 04 14:34:10 GMT 2021","Wed Aug 04 14:34:18 GMT 2021","7950","docs.testcases","test_create_posts","","","","test_create_posts",""
"broken","Wed Aug 04 14:33:41 GMT 2021","Wed Aug 04 14:33:56 GMT 2021","14577","docs.testcases","test_articles_list","","","","test_global_feed_list",""
"passed","Wed Aug 04 14:35:02 GMT 2021","Wed Aug 04 14:35:11 GMT 2021","9023","docs.testcases","test_registration200","","","","test_registration200",""
"broken","Wed Aug 04 14:34:18 GMT 2021","Wed Aug 04 14:34:26 GMT 2021","7961","docs.testcases","test_delete_post","","","","test_delete_post",""
"broken","Wed Aug 04 14:34:26 GMT 2021","Wed Aug 04 14:34:33 GMT 2021","6927","docs.testcases","test_edit_settings","","","","test_edit_settings",""
