"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 04 13:48:19 GMT 2021","Wed Aug 04 13:48:26 GMT 2021","6906","docs.testcases","test_export_my_last_post","","","","test_export_my_last_post",""
"broken","Wed Aug 04 13:47:50 GMT 2021","Wed Aug 04 13:47:57 GMT 2021","7019","docs.testcases","test_create_post","","","","test_create_post",""
"broken","Wed Aug 04 13:48:12 GMT 2021","Wed Aug 04 13:48:19 GMT 2021","6876","docs.testcases","test_edit_settings","","","","test_edit_settings",""
"broken","Wed Aug 04 13:47:57 GMT 2021","Wed Aug 04 13:48:04 GMT 2021","6881","docs.testcases","test_create_posts","","","","test_create_posts",""
"broken","Wed Aug 04 13:48:29 GMT 2021","Wed Aug 04 13:48:36 GMT 2021","7866","docs.testcases","test_logout","","","","test_logout",""
"passed","Wed Aug 04 13:47:44 GMT 2021","Wed Aug 04 13:47:50 GMT 2021","5787","docs.testcases","test_cookie_accept","","","","test_cookie_accept",""
"passed","Wed Aug 04 13:48:54 GMT 2021","Wed Aug 04 13:49:03 GMT 2021","8921","docs.testcases","test_registration200","","","","test_registration200",""
"broken","Wed Aug 04 13:48:04 GMT 2021","Wed Aug 04 13:48:12 GMT 2021","7895","docs.testcases","test_delete_post","","","","test_delete_post",""
"broken","Wed Aug 04 13:48:26 GMT 2021","Wed Aug 04 13:48:29 GMT 2021","2508","docs.testcases","test_login","","","","test_login",""
"broken","Wed Aug 04 13:47:26 GMT 2021","Wed Aug 04 13:47:44 GMT 2021","18476","docs.testcases","test_articles_list","","","","test_global_feed_list",""
"passed","Wed Aug 04 13:48:44 GMT 2021","Wed Aug 04 13:48:54 GMT 2021","9163","docs.testcases","test_registration","","","","test_registration",""
"broken","Wed Aug 04 13:48:36 GMT 2021","Wed Aug 04 13:48:44 GMT 2021","7899","docs.testcases","test_pagination","","","","test_global_feed_pagination",""
